materials backflow_percent inlet_D angle inlet_V Density Viscosity
457 65.873825 1.7 0.6283 201.2 0.00106 0.004
458 64.490966 1.7 0.6283 168.0 0.00106 0.004
459 62.716591 1.7 0.6283 134.8 0.00106 0.004
460 58.916151 1.7 0.6283 101.6 0.00106 0.004
461 44.861374 1.7 0.6283 68.4 0.00106 0.004
462 74.495301 1.7 0.6981 500.0 0.00106 0.004
463 74.249676 1.7 0.6981 466.8 0.00106 0.004
464 73.974078 1.7 0.6981 433.6 0.00106 0.004
465 73.635723 1.7 0.6981 400.4 0.00106 0.004
466 73.261792 1.7 0.6981 367.2000000000001 0.00106 0.004
467 72.891963 1.7 0.6981 334.0 0.00106 0.004
468 72.511404 1.7 0.6981 300.8 0.00106 0.004
469 71.941808 1.7 0.6981 267.6 0.00106 0.004
470 71.286756 1.7 0.6981 234.4 0.00106 0.004
471 70.394254 1.7 0.6981 201.2 0.00106 0.004
